título,año,kms,link,precio,zona,descripción
Volkswagen Scirocco 2.0 Tsi 211cv,2012,108.000,https://auto.mercadolibre.com.ar/MLA-1456632383-volkswagen-scirocco-20-tsi-211cv,24900 dólares,Villa Urquiza - Capital Federal - Capital Federal,"titular , 4 continental nuevas , impecable por donde lo mires"
Ford F100 Ranger Americana Caja Larga,1981,111,https://auto.mercadolibre.com.ar/MLA-1940831870-ford-f100-ranger-americana-caja-larga,25000 dólares,CUBA - Malvinas Argentinas - Bs.As. G.B.A. Norte,"Ford f100 ranger americana caja larga, excelente estado, cubiertas bf goodrich nuevas, aire acondicionado y dirección hidráulica, caja de 4 sobre machar original, motor perkins 6, nada para hacerle, titular, se vende únicamente transferida"
Fiat Toro 2.0 Ranch 4x4 At,2020,120.000,https://auto.mercadolibre.com.ar/MLA-1941190206-fiat-toro-ranch-4x4-at9-diesel-la-mejor-la-mas-linda,25000 dólares,Canning - Ezeiza - Bs.As. G.B.A. Sur,"Segundo dueño, la compre con 70.000Km, tiene todos los services oficiales con sus sellos correspondientes en concesionaria FIAT.Las gomas se cambiaron nuevas en FEB/24 (originales PIRELLI SCORPION).La distribución se hizo completa (incluyendo bomba de agua) OCT/24 (en service oficial, tengo los comprobantes).VTV vence en Feb/2025.La chata anda excelente, un empuje bárbaro, el uso que se le dio es para movilizarse mi esposa, no se la cargo ni realizo trabajo en el campo."
Renault Captur 2.0 Intens Manual,2019,19.000,https://auto.mercadolibre.com.ar/MLA-1940846844-renault-captur-20-intens-manual,24850000 pesos,Haedo - Morón - Bs.As. G.B.A. Oeste,"Renault Capture 2.0 Intens 19.000kmPrimer dueño, sin detalles. Igual a 0kmButacas de cuero, siempre utilizadas con funda protectora.Nada por hacerle.Precio de contado, cambia por permuta."
BMW X1 2.0 Sdrive 25i Xline 231cv,2016,65.000,https://auto.mercadolibre.com.ar/MLA-1940807380-bmw-x1-20-sdrive-25i-xline-231cv,33000 dólares,Villa Urquiza - Capital Federal - Capital Federal,"Tomo auto, lote, moto de menor valorÚnico dueñoSe puede ver en Villa Urquiza o en Nordelta Servicio realizado en Bremen en Septiembre 20244 ruedas nuevas Tratamiento acrílico"
Citroën C-Elysee 1.6 Feel Hdi 92,2018,999.999,https://auto.mercadolibre.com.ar/MLA-1456453393-citroen-c-elysee-2018-16-feel-hdi-92,600000 pesos,La Plata - Bs.As. G.B.A. Sur,Paragolpe trasero citroen celysee 100% original número de pieza 1608703480
Ford Galaxy 2.0 Ghia,1993,300.000,https://auto.mercadolibre.com.ar/MLA-1940882830-ford-galaxy-20-ghia,1200000 pesos,Saavedra - Saavedra - Buenos Aires Interior,Titular sin deudas.Patentes pagas todo el 2024.Tranferencia en el registro de pigue.Gnc grande al dia.Falta cambiar amortiguadores.No esta picado.Mecanica excelente.
Fiat Palio 1.3 Mpi,1998,200.000,https://auto.mercadolibre.com.ar/MLA-1456646679-fiat-palio,1300000 pesos,San José - Almirante Brown - Bs.As. G.B.A. Sur,El vendedor no incluyó una descripción del producto
Fiat Ducato 1.9 Furgon 10,1994,200.000,https://auto.mercadolibre.com.ar/MLA-1941225384-fiat-ducato-1994-19-furgon-10,1300000 pesos,Lanús - Bs.As. G.B.A. Sur,Solo VENDOSOLO Cedula MERO POSEEDOR 94 motor 1.9Lanus Oeste Soplo junta porque pasa agua por una camisaLa tapa se hizo nueva en diciembre 2023Toda la electricidad NUEVA$1300000 charlables 1Solo VENDOSOLO Cedula MERO POSEEDOR 94 motor 1.9Lanus Oeste Soplo junta porque pasa agua por una camisaLa tapa se hizo nueva en diciembre 2023Toda la electricidad
Renault 4l,2025,500.000,https://auto.mercadolibre.com.ar/MLA-1456598381-renault-4l,1600000 pesos,Cañuelas - Cañuelas - Buenos Aires Interior,"Titular vende. 08 firmado en blanco. Funcionando todos los días. Autopartes grabadas .Bien de motor, casco,ruedas,etc"
Renault Kangoo Ii Express 1.6 Sce Emotion 5A,2021,50.000,https://auto.mercadolibre.com.ar/MLA-1940878862-renault-kangoo-ii-express-2021-16-sce-emotion-5a,1600000 pesos,Capital Federal - Capital Federal,VENDO URGENTE KANGOO RETIRA CON 1.600.000 EL RESTO EN CUOTAS DE 200.000 PESOS
Peugeot 404 4Cil,1971,100.000,https://auto.mercadolibre.com.ar/MLA-1941177032-peugeot-404-4cil,2000 dólares,San Carlos de Bolívar - Bolívar - Buenos Aires Interior,"Vendo o permuto Peugeot 404 nafta 1971. Muy bueno de cubiertas, no esta picado ni nada por el estilo, funciona todo. Precio en dolares."
Ford Taunus Taunus L ,1999,111.111,https://auto.mercadolibre.com.ar/MLA-1456554925-ford-taunus-taunus-l,2500 dólares,Pilar - Bs.As. G.B.A. Norte,"Vehículo con pintura original,ideal para restaurar,muy bien de chapa Motor impecable,frenos nuevos, distribución nueva,bomba de freno y de Nafta nuevos, batería nueva,tren delantero nuevo,muy bien de cubiertas"
Ford Focus 1.8 I Ghia,2000,250.000,https://auto.mercadolibre.com.ar/MLA-1456507143-ford-focus-2000-18-i-ghia,2500000 pesos,Moreno - Bs.As. G.B.A. Oeste,El vendedor no incluyó una descripción del producto
Renault R19 1.7 Txe Chamade,1993,1.234,https://auto.mercadolibre.com.ar/MLA-1456672389-renault-r19-1993-17-txe-chamade,2500000 pesos,Florencio Varela - Bs.As. G.B.A. Sur,Vendo o permuto Renault 19 nafta Gnc soy titular
Peugeot 404 6Cil,1973,10.000,https://auto.mercadolibre.com.ar/MLA-1940877590-peugeot-404-6cil,2500000 pesos,General Mosconi - Córdoba - Córdoba,"VENDO PEUGEOT 404 NAFTA-GNC. MOD 73. Mot-1.6 TODOS LOS PAPELES, SOY TITULAR!! Está Andando..."
Renault Clio 1.6 Rn,1998,200.000,https://auto.mercadolibre.com.ar/MLA-1456559959-renault-clio-1998-16-rn,2800000 pesos,Berazategui - Bs.As. G.B.A. Sur,El vendedor no incluyó una descripción del producto
Chevrolet Corsa 1.4 Gl,1996,1.111.111,https://auto.mercadolibre.com.ar/MLA-1941194700-chevrolet-corsa-14-gl,2800000 pesos,Los Troncos del Talar - Tigre - Bs.As. G.B.A. Norte,"Vendo no permuto 08 firmado , título, cédula verde, cedula de GNC, grabado de autopartes, bien de motor, bien de caja, llantas del astra 98, y butacas delanteras del gol, levanta vidrios eléctrico, galleta de GNC nueva, hay que hacerle tren delantero, prueba hidráulica y cambiar el parabrisas, está andando"
Peugeot 206 1.6 Xt,2004,200.000,https://auto.mercadolibre.com.ar/MLA-1456585687-peugeot-206-2004-16-xt,2900000 pesos,San Miguel - Bs.As. G.B.A. Norte,El vendedor no incluyó una descripción del producto
Volkswagen Golf 1.8 Turbo Gti,1998,200.000,https://auto.mercadolibre.com.ar/MLA-1456527987-volkswagen-golf-18,3000000 pesos,Benavídez - Tigre - Bs.As. G.B.A. Norte,El vendedor no incluyó una descripción del producto
Renault Twingo 1.2 Authentique,2000,5.000,https://auto.mercadolibre.com.ar/MLA-1940501292-renault-twingo-12-authentique,3300000 pesos,La Reja - Moreno - Bs.As. G.B.A. Oeste,El vendedor no incluyó una descripción del producto
Volkswagen Polo Classic 1.9 Sd Comfortline,2003,278.000,https://auto.mercadolibre.com.ar/MLA-1941229700-volkswagen-polo-classic-19-sd-comfortline,3300000 pesos,La Capilla - Florencio Varela - Bs.As. G.B.A. Sur,El vendedor no incluyó una descripción del producto
Fiat 147 1100,1988,111.111,https://auto.mercadolibre.com.ar/MLA-1456594755-fiat-147-1100,3500 dólares,Tigre - Bs.As. G.B.A. Norte,"147 Brio, modelo 89. Motor 1100. Titular, se va transferido. Con muchas mejoras. Excelente andar. Encendido electrónico con reforma de Gol. Faros y ópticas nuevas. Rulemanes delanteros nuevos (skf).Cubiertas buenas (2 nuevas).Leva IAVA, escape bumbum al medio (El original también se va).No permuto."
Fiat Palio 1.6 S,1998,227.990,https://auto.mercadolibre.com.ar/MLA-1456527859-fiat-palio-1998-16-s,3500000 pesos,Lanús - Bs.As. G.B.A. Sur,El vendedor no incluyó una descripción del producto
"Caja De Carga Cabina Simple ( Paragolpe, Faros, Cobertor )",2023,1.000,https://auto.mercadolibre.com.ar/MLA-1940513848-caja-de-carga-cabina-simple-paragolpe-faros-cobertor-,3500000 pesos,San Rafael - San Rafael - Mendoza,El vendedor no incluyó una descripción del producto
Ford Mondeo 1.8 Clx,1999,250.000,https://auto.mercadolibre.com.ar/MLA-1940810908-ford-mondeo-1999-18-clx,3500000 pesos,Capital Federal - Capital Federal,El vendedor no incluyó una descripción del producto
Citroën Xsara Picasso 2.0 Hdi,2003,280.000,https://auto.mercadolibre.com.ar/MLA-1941204280-citron-xsara-picasso-20-hdi,3500000 pesos,Centro - Mar del Plata - Bs.As. Costa Atlántica,El vendedor no incluyó una descripción del producto
Fiat Fiorino 1.3 Fire,2007,1.111.111,https://auto.mercadolibre.com.ar/MLA-1941228902-fiat-fiorino-13-fire,3500000 pesos,Moreno - Moreno - Bs.As. G.B.A. Oeste,Se vende urgente. Tal cual la foto. Andando. Hay que hacerle cambio de aro algo de tren delantero y las cubiertas están al 50%. Transferencia a cargo del comprador.
Peugeot 206 1.4 X-line,2007,140.000,https://auto.mercadolibre.com.ar/MLA-1940905874-peugeot-206-14-x-line,3600000 pesos,William C. Morris - Hurlingham - Bs.As. G.B.A. Oeste,"El auto tiene 140.000 km reales y esteticamente esta bien, solo con algunas marcas del uso de los años. Esta este precio porque hace unos dias se quemo la junta de tapa de cilindro y se mezclo el aceite con el agua y la verdad que lamentablemente no tengo plata para arreglarlo (el arreglo sale aprox $700.000 por lo que me dijo el mecanico). El auto arranca y cuento con todos los papeles."
Renault R19 1.6 Re,1998,297.000,https://auto.mercadolibre.com.ar/MLA-1940848654-renault-19-re-gnc-1998-papeles-al-dia,3800000 pesos,Berazategui - Berazategui - Bs.As. G.B.A. Sur,"Renault 19 RE – con Nafta y GNC• Papeles al día.• Patente municipalizada y sin deuda.• GNC: Prueba hidráulica hasta Marzo 2027. Oblea: Abril 2025• VTV hasta Mayo 2025• Cubiertas delanteras cambiadas en febrero 2024, las traseras en julio 2023.• Kilometraje: 297.500 aprox. Nunca fue remis, soy 3er dueño. • Aceite y filtros – cambiados a los 296.300 km• Con alarmaAcepto permuta, a convenir difencia de valor"
Camioneta Trafi Mini Bus 12 Hacientos,1992,111.111,https://auto.mercadolibre.com.ar/MLA-1940790906-camioneta-trafi-mini-bus-12-hacientos,4000000 pesos,Muñiz - San Miguel - Bs.As. G.B.A. Norte,El vendedor no incluyó una descripción del producto
Renault R18 2.2 Tx,1992,272.000,https://auto.mercadolibre.com.ar/MLA-1940843378-renault-r18-1992-22-tx,4000000 pesos,La Matanza - Bs.As. G.B.A. Oeste,"Vendo Renault 18 modelo 92 TX.-Motor: 2.2 L-motor y mecánica IMPECABLE,tiene hecho tren delantero completo, electroventiladores completos, faros delanteros, luces traseras y guiños nuevos. Paragolpes nuevos, 4 cubiertas nuevas sin rodar, aire acondicionado y levanta vidrios funcionando.-se va transferido titular al día.-consultar."
Jeep Ika 1958 4x2,1999,111.111,https://auto.mercadolibre.com.ar/MLA-1941253906-jeep-ika-1958-4x2,4300 dólares,Ingeniero Adolfo Sourdeaux - Malvinas Argentinas - Bs.As. G.B.A. Norte,"Vendo Jeep Ika Chasis Corto de Chapa, Modelo 1958, Motor Continental, Caja Original de 3ra. Cúpula y puertas de fibra desmontables. El Vehículo se encuentra con sus papeles al día y listo para transferir. El vehículo se vende transferido."
Peugeot 504 Gr2,1993,1.111,https://auto.mercadolibre.com.ar/MLA-1456547207-peugeot-504-gr2,4300000 pesos,La Plata - Bs.As. G.B.A. Sur,"Se puede Listo para transferir , de coleccion , inmaculado . Vtv al dia , vence 9/25 funciona a gas y nafta excelente.Libre de deudas , el interior esta muy lindo tambien . Su consulta no molesta   llamar despues de las 10 am ."
Renault Megane 2.0 Rxe,1998,200.000,https://auto.mercadolibre.com.ar/MLA-1456508147-renault-megane-20-rxe,4400000 pesos,Boedo - Capital Federal - Capital Federal,El vendedor no incluyó una descripción del producto
Volkswagen Passat Variant 1.9 I Comfortline,2001,250.000,https://auto.mercadolibre.com.ar/MLA-1456529557-volkswagen-passat-variant-2001-19-i-comfortline,4500 dólares,Berazategui - Bs.As. G.B.A. Sur,Vendo o permuto Passat Variant b5.5 2001. 1.9 TDI. TITULAR. Detalles de chapa. Buena mecánica. Acepto permutas por moto honda/ yamaha o pongo diferencia por auto.
"Chevrolet Corsa 1.6 Base, Clase 4, Titular, Muchos Agregados",2004,215.000,https://auto.mercadolibre.com.ar/MLA-1456698145-chevrolet-corsa-16-base-clase-4-titular-muchos-agregados,4500 dólares,Ramos Mejía - La Matanza - Bs.As. G.B.A. Oeste,El vendedor no incluyó una descripción del producto
Suzuki Fun 1.4 N Aa Da,2008,155.000,https://auto.mercadolibre.com.ar/MLA-1941187764-suzuki-fun-2008-14-n-aa-da,4500 dólares,Capital Federal - Capital Federal,"Primera mano ,con detalles de chapa,y parabrisa delantero."
Volkswagen Polo 1.9 Diesel ,2006,250.000,https://auto.mercadolibre.com.ar/MLA-1456477723-volkswagen-polo-19-diesel,4500000 pesos,La Matanza - Bs.As. G.B.A. Oeste,El vendedor no incluyó una descripción del producto
Chevrolet C-10 76,1986,1.111,https://auto.mercadolibre.com.ar/MLA-1456573233-chevrolet-c-10-76,4500000 pesos,Quilmes - Bs.As. G.B.A. Sur,"C10 a terminar de restaurar,es motor diesel 6 cilindros indenor.año 1976.Solo interesados posible permuta a evaluar.Fabian.Precio charlable."
Honda Fit 1.5 Ex Mt 120cv,2010,163.000,https://auto.mercadolibre.com.ar/MLA-1941278784-honda-fit-2010-15-ex-mt-120cv,4500000 pesos,Ushuaia - Tierra del Fuego,"Vendo fit 2010 .prendado por Santander. Son cuotas fijas con seguro incl.de $17200. Se va transferido. Al auto no hay q hacerle nada. Tiene rto recién echo. Anda hermoso. Es manual. Detalles estéticos propios del modelo. Soy titular. No apto para revendedores. Queda. 36 cuotas por pagar. Si viene otra guerra mundial queda en pie las cucarachas ylos honda fit "" así q es una maquinita y con excelente confort...."
Peugeot 206 1.9 Xrd Premium,2004,250.000,https://auto.mercadolibre.com.ar/MLA-1940792780-peugeot-206-19-xrd-premium-5-puertas-cordoba,4790000 pesos,Embalse - Calamuchita - Córdoba,"Peugeot 206 XRD - Ubicado en Embalse Córdoba, radicado allí.Titular, al día - Motor 1.9 Diesel caja manual330.000kmExcelente estado general, sin golpes, muy cuidado.Aire acondicionado, levanta vidrios, dirección.Muy buena mecánica.4 gomas en buen estado listo para llevartelo!!Se vende transferido al día."
Renault Clio 1.5 Privilege,2005,189.000,https://auto.mercadolibre.com.ar/MLA-1456463259-clio-2-f2-tric-diesel-privilege-full-motor-15,4900 dólares,Villa Lugano - Capital Federal - Capital Federal,"CLIO 2 F2 TRIC DIESEL PRIVILEGE FULL – MOTOR 1.5Sedan 4 Puertas, con baul.MUY BUEN AUTO: 189000 kilómetros reales, 80 % en ruta. Muy poco uso en ciudad.Bajísimo consumo de combustible, tanto en ruta como en ciudad.Titular, segundo dueño, adquirido en 2010 con 40000 kilómetros.Con todos los papeles al día. Listo para transferir.Sin Infracciones, con grabado de autopartes y patentes al día.VTV recién realizada, válida hasta septiembre del 2025.U$S 4.900,00 o su equivalente en $ - ESCUCHO OFERTAS.El auto se encuentra en Capital Federal – Villa Lugano – 011 4416-7602 (Luis)."
Ford Galaxy 2.0 Ghia,1994,133.000,https://auto.mercadolibre.com.ar/MLA-1456560805-ford-galaxy-20-ghia,4900 dólares,Olivos - Vicente López - Bs.As. G.B.A. Norte,"Vendo Ford Galaxy 2.0 1994 aire, dirección, soy tercera mano,133.000 km reales,4 cubiertas nuevas, amortiguadores traseros nuevos,bateria nueva, motor e interior impecables, manual original, todo al día titular. $4.900 dólares. NO PERMUTO."
Chevrolet Celta 1.4 Ls+aa,2012,135.000,https://auto.mercadolibre.com.ar/MLA-1456546367-chevrolet-celta-14-2012-lt-aa,5000 dólares,Villa Ballester - General San Martín - Bs.As. G.B.A. Norte,Chevrolet Celta 2012 Versión LT - 136.000 KM - AA - Nafta - 5 puertas - Bluethoot - Cierre centralizado - Motor 1.4Detalles:Arreglos de chapa y pinturaParagolpes frenteInsigniaPerilla de luces bajas Levantavidrios electrico lado contuctor trabadoMarquitas de usoTitular - Apto para transferir - Papeles al díaSe puede ver por San Andres (Gral San Martin) o Boulogne (San Isidro)
Chevrolet Corsa Classic 1.6 Gl,2007,195.143,https://auto.mercadolibre.com.ar/MLA-1940883568-chevrolet-corsa-16-4-p-gl-aa-super-classic-2007,5000 dólares,Martínez - San Isidro - Bs.As. G.B.A. Norte,El vendedor no incluyó una descripción del producto
Ford Ecosport 2.0 Xlt,2005,180.000,https://auto.mercadolibre.com.ar/MLA-1941229578-ford-ecosport-20-xlt,5000 dólares,San Fernando - San Fernando - Bs.As. G.B.A. Norte,"Vendo Ford Ecosport 2005Todos los papeles al díaNo debe nadaRadicada en San Fernando Tiene un inconveniente con la aceleración, que regula entre las 1500 y 2300 vueltas (debe ser algún problema de vacíos) Y también, pierde un poco de aceite por la junta de la caja. Hay que bajar la caja para su reparación. Luego de todo lo demás, la camioneta arranca, está en mi casa y pueden pasar a verla cuando gusten. Se puede charlar el precio, ES EN DOLARES."
Mercedes-benz 608 Mercedez Benz 608,2000,10.000,https://auto.mercadolibre.com.ar/MLA-1940821370-mercedes-benz-608-mercedez-benz-608,5000000 pesos,Quilmes - Bs.As. G.B.A. Sur,"El motor está 11 puntos,frenos se hicieron nuevos"
Volkswagen Gol Country 1.4 Power (aa+dh) 83cv,2012,130.000,https://auto.mercadolibre.com.ar/MLA-1940832296-volkswagen-gol-country-14-power-aadh-83cv,5000000 pesos,Beccar - Bs.As. G.B.A. Norte,El vendedor no incluyó una descripción del producto
Renault Fuego Gtx 2.0,1987,227.000,https://auto.mercadolibre.com.ar/MLA-1941165550-renault-fuego-gtx-20,5000000 pesos,Córdoba - Córdoba,"Coupe Fuego excelente estado, solo nafta, soy titular, lista para transferir, escucho ofertas"
Peugeot 206 1.6 Xr Premium 5 p,2002,244.600,https://auto.mercadolibre.com.ar/MLA-1941171220-peugeot-206-16-xr-premium-5-p,5000000 pesos,Alta Córdoba - Córdoba - Córdoba,El vendedor no incluyó una descripción del producto
Fiat Uno Cargo 1.3 Fire,2006,330.000,https://auto.mercadolibre.com.ar/MLA-1941181822-fiat-uno-cargo-13-fire,5000000 pesos,Concepción del Uruguay - C. del Uruguay - Entre Ríos,El vendedor no incluyó una descripción del producto
Renault Clio 1.6 Rn,1997,110.000,https://auto.mercadolibre.com.ar/MLA-1941227788-renault-clio-16-unica-mano,5000000 pesos,Centro - Luján - Buenos Aires Interior,"Impecable, única mano siempre una señora mayor. 110mil km reales."
Volkswagen Gol 1.6 I Power 601 3 p,2006,128.000,https://auto.mercadolibre.com.ar/MLA-1941206892-volkswagen-gol-2006-16-i-power-601-3-p,5280 dólares,General San Martín - Bs.As. G.B.A. Norte,Titular. Al dia.Año 2006Km: 128milAire y direcciónFunciona todoMecanica 10 puntosNeumaticos practicamente nuevos ( los 4 )Se entrega transferido únicamenteNo debe nada.VTV vigente
Ford Ka 1.0 Plus Aa Tattoo,2005,178.000,https://auto.mercadolibre.com.ar/MLA-1941021646-ford-ka-10-plus-aa-tattoo,5200000 pesos,Villa Martelli - Vicente López - Bs.As. G.B.A. Norte,Ford ka 1.0 año 2005 muy cuidado. Aire acondicionado funcionando perfectamente. Escucho oferta en efectivo Puedo recibir permuta de menor valor. Alguna moto y diferencia
Peugeot 307 2.0 Xsi,2004,180.000,https://auto.mercadolibre.com.ar/MLA-1941220750-peugeot-307-2004-20-xsi,5300 dólares,La Matanza - Bs.As. G.B.A. Oeste,"Peugeot 307 XSi Coupe 2.0 143 cv, cuero, techo y vidrios electricos, freno a disscos x 4 con ABS, 6 airbags, titular, segundo dueño, no permuto.Detalles estéticos del uso diario a la vista, se entrega con una paragolpes trasero nuevo y ORIGINAL para cambiar"
Fiat Palio 1.3 Fire,2004,199.000,https://auto.mercadolibre.com.ar/MLA-1941245780-fiat-palio-2004-13-fire,5300 dólares,Pilar - Bs.As. G.B.A. Norte,Fiat Palio 1.3 fire 16v*Año: 2004*kilómetros: 199.000*Aire/dirección/levanta vidrios eléctrico. *VTV vigente hasta mayo 2025*Libre de multas.Kit de distribución y embrague hechos a los 197.000 kilometros.Tren delantero y Bomba de freno hace 150 kilómetros.Agregados:*Camarita tipo silem ( Tengo el escape original )*Estereo Pionner *Parlante Pionner 6 pulgadas y 6x9.
Ford Ka 1.0 Viral,2007,160.000,https://auto.mercadolibre.com.ar/MLA-1456542469-ford-ka-10-viral,5400 dólares,Pergamino - Pergamino - Buenos Aires Interior,El vendedor no incluyó una descripción del producto
Volkswagen Gol 1.4 Power 83cv,2011,220.000,https://auto.mercadolibre.com.ar/MLA-1940881506-volkswagen-gol-14-power-83cv,5400000 pesos,San Justo - La Matanza - Bs.As. G.B.A. Oeste,El vendedor no incluyó una descripción del producto
Ford Ka 1.6 Fly Viral 95cv,2012,107.000,https://auto.mercadolibre.com.ar/MLA-1456521655-ford-ka-2012-16-fly-viral-95cv,5500 dólares,Mar del Plata - Bs.As. Costa Atlántica,El vendedor no incluyó una descripción del producto
Peugeot 206 Xrd Diesel,2006,145.000,https://auto.mercadolibre.com.ar/MLA-1456569655-peugeot-206-xrd-diesel,5500 dólares,San Nicolás - Capital Federal - Capital Federal,"Unico Dueño Vende. 206 XRD full ful..  Aire, computadora abordo con información temp. Cantidad combustible,  etc. Comandos de música al volante. Techo, espejos y levantavidrios eléctrico. Sensor lluvia TODO FUNCIONANDO. Agregados Alarma Volumetrica y Detector de distancia trasero para estacionamiento . Llantas de aliacion.  145 mil km reales. Vtv al día CABA.  Neumaticos Y batería Willard TODOS nuevos. Detalles de pintura. No vendo a agencias."
Renault Kangoo 1.5 2 Dci Ath Plus Da Aa Cd Pack Lc,2011,200.000,https://auto.mercadolibre.com.ar/MLA-1940794208-renaul-kangoo,5500 dólares,Benavídez - Tigre - Bs.As. G.B.A. Norte,Hay que repararle los inyectores. El resto esta todo ok.
Volkswagen Gol 1.9 Sd Power 701,2007,213.500,https://auto.mercadolibre.com.ar/MLA-1940857412-volkswagen-gol-19-sd-power-701,5500 dólares,Martínez - San Isidro - Bs.As. G.B.A. Norte,VTV 20252 cubiertas nuevasRueda de auxilio buen estadoFaros auxiliaresVigía (Agua-Aceite-Batería)Pantalla c/camara de estacionamientoMotor-Interior-Exterior (10 puntos)
Volkswagen Gol Country 1.6 Power Int.plus 701,2009,250.000,https://auto.mercadolibre.com.ar/MLA-1456554457-volkswagen-gol-country-2009-16-power-intplus-701,5500000 pesos,Del Viso - Bs.As. G.B.A. Norte,Titular al día con GNC de 4 ta generacion
Peugeot 206 1.6 Xs Premium,2005,160.000,https://auto.mercadolibre.com.ar/MLA-1456599443-peugeot-206-16-xs-premium,5500000 pesos,Villa Domínico - Avellaneda - Bs.As. G.B.A. Sur,"Equipo con GNC Techo solar con sistema antirrobo Rueda de auxilioPapeles al día, Vtv recién hecha *precio en dólares*"
Chevrolet Corsa 1.8 Gl Aa+da,2010,293.000,https://auto.mercadolibre.com.ar/MLA-1940860478-chevrolet-corsa-2010-18-gl-aada,5500000 pesos,Pilar - Bs.As. G.B.A. Norte,El vendedor no incluyó una descripción del producto
Toyota Corona 2.0 Gl I D-4 D,1999,240.000,https://auto.mercadolibre.com.ar/MLA-1940890982-toyota-corona-20-diesel-1999,5750 dólares,Florida - Vicente López - Bs.As. G.B.A. Norte,"AUTO BIEN MANTENIDO, IMPECABLE ANDAR, FUNCIONA TODO, GASTO GASOIL 6 LITROS X 100 KM"
Chevrolet Corsa Classic 1.6,2007,160.000,https://auto.mercadolibre.com.ar/MLA-1456710369-chevrolet-corsa-classic-2007-16,5700000 pesos,La Matanza - Bs.As. G.B.A. Oeste,El vendedor no incluyó una descripción del producto
Volkswagen Gol 1.6 I Power 601,2009,161.000,https://auto.mercadolibre.com.ar/MLA-1456490043-volkswagen-gol-power-2009-2-ruedas-kit-de-correa,5800 dólares,Lanús Este - Lanús - Bs.As. G.B.A. Sur,"VOLKSWAGEN GOL POWER 2009 + 2 CUBIERTAS A ESTRENAR + KIT DE CORREA DE DISTRIBUCION (TODO INCLUIDO EN EL PRECIO).Perfecto estado del vehículo. Está listo para usar.VTV, papeles y deudas al día.Titular.Listo para transferir."
Peugeot 206 1.4 Rwc,2007,104.000,https://auto.mercadolibre.com.ar/MLA-1456594645-peugeot-206-14-rwc,5800 dólares,Olivos - Vicente López - Bs.As. G.B.A. Norte,"Peugeot 206 motor 1.4 nafta, no consume nada, le funciona todo, muy confiable. Excelente primer auto o como auto secundario.Se ve por el puerto de Olivos."
Chevrolet Corsa 1.6 Gl Aa Dh,2006,192.000,https://auto.mercadolibre.com.ar/MLA-1940805128-chevrolet-corsa-2006-16-gl-aa-dh,5800 dólares,General San Martín - Bs.As. G.B.A. Norte,Agregados. suspensión escape y filtro.El auto se encuentra en perfectas condiciones. Su consulta no molesta. llamar para coordinar encuentro (solo en mi domicilio/ Local)
Fiat Uno Fire,2008,200.000,https://auto.mercadolibre.com.ar/MLA-1456517855-fiat-uno-fire,5800000 pesos,Córdoba - Córdoba,El vendedor no incluyó una descripción del producto
Honda Fit Exl automático,2005,282.000,https://auto.mercadolibre.com.ar/MLA-1940502594-honda-fit-exl-automatico,5800000 pesos,El Pato - Berazategui - Bs.As. G.B.A. Sur,El vendedor no incluyó una descripción del producto
Chevrolet Corsa 1.4 Classic Gls,2009,130.000,https://auto.mercadolibre.com.ar/MLA-1456546009-chevrolet-corsa-14-gls,5900 dólares,Quilmes Oeste - Quilmes - Bs.As. G.B.A. Sur,"Vendo Chevrolet Corsa GLS 2009 en muy buen estado. Es la versión más full tiene aire acondicionado, llantas, dirección hidráulica, cierre centralizado, faros antiniebla y levanta vidrios en las 4 puertas. Papeles al día sin deudas de patentes ni de infracciones, la transferencia es obligatoria. Pago únicamente en dólares billete en efectivo.Además se le agrego presencia a la alarma que genera la inmobilización de motor.VTV realizada el 28-09-2024 hasta septiembre 2025.Se ve por Quilmes a convenir."
Peugeot 307 1.6 Sedan Xs 110cv Mp3,2010,200.000,https://auto.mercadolibre.com.ar/MLA-1941221676-peugeot-307-2010-16-sedan-xs-110cv-mp3,5900000 pesos,Pilar - Bs.As. G.B.A. Norte,El vendedor no incluyó una descripción del producto
Chevrolet Corsa 1.4 Classic Gls,2009,149.000,https://auto.mercadolibre.com.ar/MLA-1456495485-chevrolet-corsa-14-classic-gls,6000 dólares,Temperley - Lomas de Zamora - Bs.As. G.B.A. Sur,SE VENDE CORSA 2009149.000km aire y direccionsuspensión regulablefiltro de alto flujochip en idf powermariposa potenciada en idf powermedio equipo.se va transferidoNO permuto
Volkswagen Gol 1.4 Power Ps+ac 83cv,2012,132.000,https://auto.mercadolibre.com.ar/MLA-1456495945-volkswagen-gol-2012-14-power-psac-83cv,6000 dólares,La Matanza - Bs.As. G.B.A. Oeste,"Gol 2012 - 132000km Documentación: titular, transferencia obligatoria - libre de deudas - verificación técnica vigente al 2/2025 - verificación policial realizada - segunda llave y manuales Equipamiento: aire acondicionado y dirección hidráulica - alarma - estereo Bluetooth - todo en funcionamiento Mecánica: mantenimiento en tiempo y forma 130mil km ( 7/2024) distribución marca ina con bomba de agua dolhz 127mil km (3/2024) cambio aceite total y filtros 125mil km (9/2023) cambio cazoletas - 4 amortiguadores - discos y pastillas - cubiertas delanteras nuevas Pirelli p400 120mil km (2/2023) cables y bujías ngkSe puede ver en ciudad evita zona residencial con seguridad privada, todos los días coordinando previamente Valor expresado en dólares o en pesos a valor del cambio del día. Evaluo permuta de mi interés"
